Код	Проект по инвалидам	Проект по водным ресурсам	Проект по усыновлению	Закон о врачах	Проект по Сальвадору	Закон о религиях	Антиспутниковый проект	Проект помощи Никарагуа	Проект по ракетам	Закон об иммигрантах	Проект по альтернативным источникам топлива	Закон об образовании	Проект по фондам	Проект по преступности	Проект по таможенным пошлинам	Проект по экспорту	Класс
55	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	воздержался	да	нет	нет	республиканец
56	нет	нет	да	нет	нет	да	да	да	да	да	нет	нет	нет	да	воздержался	да	демократ
57	да	да	да	нет	да	да	нет	да	да	да	да	нет	нет	нет	нет	да	демократ
58	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да	демократ
59	нет	да	нет	нет	да	да	нет	нет	воздержался	нет	нет	да	да	да	нет	да	демократ
60	нет	да	нет	да	да	да	нет	нет	нет	да	да	да	да	нет	нет	да	республиканец
61	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет	республиканец
62	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	демократ
63	да	нет	да	нет	да	да	да	нет	да	да	нет	нет	да	да	нет	воздержался	демократ
64	нет	да	да	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	воздержался	воздержался	демократ
65	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да	республиканец
66	нет	нет	нет	нет	нет	нет	да	да	да	да	нет	да	да	да	да	да	демократ
67	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	нет	да	демократ
68	да	да	да	нет	да	да	нет	да	нет	да	да	нет	да	да	да	да	демократ
69	нет	воздержался	воздержался	воздержался	воздержался	воздержался	воздержался	воздержался	воздержался	воздержался	воздержался	воздержался	воздержался	да	воздержался	воздержался	республиканец
70	да	нет	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	воздержался	демократ
71	нет	нет	да	да	да	да	да	да	да	да	нет	да	да	да	да	да	республиканец
72	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался	воздержался	нет	воздержался	республиканец
73	нет	воздержался	да	нет	нет	да	да	да	да	да	нет	нет	нет	да	да	да	демократ
74	да	да	нет	да	да	да	нет	нет	нет	да	нет	нет	да	да	нет	да	республиканец
75	нет	да	нет	да	да	да	нет	нет	нет	нет	да	да	нет	да	нет	нет	республиканец
76	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	нет	да	да	воздержался	да	республиканец
77	да	да	да	нет	воздержался	нет	да	да	да	да	нет	нет	нет	нет	да	воздержался	демократ
78	да	воздержался	нет	да	да	да	нет	да	нет	нет	нет	да	да	да	нет	да	республиканец
79	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да	республиканец
80	воздержался	воздержался	воздержался	воздержался	нет	да	нет	да	да	нет	нет	да	да	нет	нет	воздержался	демократ
81	нет	нет	нет	да	да	да	да	нет	нет	да	нет	да	да	да	нет	да	республиканец
82	воздержался	воздержался	воздержался	нет	нет	нет	да	да	да	да	нет	нет	да	нет	да	да	демократ
83	да	нет	да	нет	нет	да	да	да	да	да	да	нет	нет	нет	да	да	демократ
84	да	нет	да	нет	нет	нет	да	да	да	воздержался	да	нет	нет	нет	да	воздержался	демократ
85	да	да	да	нет	да	да	нет	нет	нет	нет	да	воздержался	да	да	да	да	демократ
86	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	нет	республиканец
87	нет	да	да	нет	нет	да	да	да	да	нет	да	нет	нет	да	да	да	демократ
88	нет	да	нет	да	да	да	нет	нет	нет	да	да	да	да	да	нет	нет	республиканец
89	да	да	да	нет	нет	да	да	да	да	да	да	нет	да	да	да	да	демократ
90	нет	воздержался	да	нет	нет	да	да	да	нет	да	нет	нет	нет	нет	да	воздержался	демократ
91	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	воздержался	нет	воздержался	республиканец
92	да	воздержался	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался	демократ
93	да	нет	да	нет	нет	нет	нет	да	да	да	нет	нет	нет	нет	да	да	демократ
94	да	нет	да	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да	демократ
95	да	воздержался	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался	демократ
96	да	да	да	да	да	нет	да	нет	нет	нет	нет	да	да	да	нет	да	республиканец
97	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	да	нет	да	республиканец
98	да	да	да	да	да	да	да	да	нет	да	нет	нет	да	да	нет	да	республиканец
99	да	нет	да	нет	нет	нет	да	да	воздержался	да	да	да	нет	да	нет	да	демократ
100	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет	республиканец
101	да	да	нет	да	да	да	нет	нет	нет	нет	нет	нет	да	да	нет	да	республиканец
102	нет	да	нет	да	да	да	воздержался	нет	нет	нет	нет	воздержался	да	да	нет	нет	республиканец
103	да	да	да	нет	нет	нет	да	да	да	нет	да	нет	нет	нет	да	да	демократ
104	да	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да	республиканец
105	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	воздержался	республиканец
106	да	да	да	нет	нет	нет	да	да	нет	нет	нет	нет	нет	да	нет	да	демократ
107	да	нет	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да	да	демократ
108	нет	нет	да	нет	нет	нет	да	да	да	да	да	воздержался	нет	нет	да	да	демократ
109	нет	воздержался	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет	республиканец
110	да	воздержался	да	нет	воздержался	воздержался	да	да	да	нет	нет	нет	нет	нет	да	воздержался	демократ
111	нет	да	да	да	да	да	нет	нет	нет	да	да	нет	да	да	нет	нет	демократ
112	нет	нет	да	нет	нет	нет	да	да	да	да	да	нет	нет	нет	да	да	демократ
113	да	да	нет	да	да	да	да	нет	нет	нет	нет	да	да	да	нет	нет	республиканец
114	нет	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да	демократ
115	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался	демократ
116	нет	да	да	да	да	да	нет	нет	нет	да	да	да	да	да	да	воздержался	республиканец
117	да	да	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да	демократ
118	да	да	да	воздержался	нет	нет	нет	да	нет	нет	да	воздержался	нет	нет	да	да	демократ
119	нет	нет	нет	нет	да	да	да	нет	нет	нет	нет	воздержался	нет	да	да	да	демократ
120	нет	нет	да	нет	нет	нет	да	да	нет	да	да	нет	нет	нет	да	воздержался	демократ
121	да	нет	нет	да	да	да	нет	нет	нет	нет	да	да	да	да	нет	нет	республиканец
122	нет	да	да	нет	да	да	да	да	нет	нет	да	нет	да	нет	да	да	демократ
123	нет	нет	да	нет	нет	нет	да	да	да	нет	нет	воздержался	нет	нет	да	да	демократ
124	нет	воздержался	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да	республиканец
125	да	да	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	да	демократ
126	нет	да	да	да	да	да	да	воздержался	нет	нет	нет	нет	воздержался	воздержался	да	воздержался	республиканец
127	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет	республиканец
128	да	да	да	нет	нет	да	да	да	воздержался	да	да	воздержался	нет	нет	да	воздержался	демократ
129	да	нет	да	нет	нет	да	да	да	да	да	нет	воздержался	нет	да	нет	да	демократ
130	да	нет	да	нет	нет	да	да	да	да	да	нет	да	нет	да	нет	воздержался	демократ
131	нет	да	да	воздержался	да	да	нет	да	нет	да	воздержался	нет	да	да	воздержался	да	демократ
132	нет	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	да	нет	да	демократ
133	нет	нет	нет	да	да	да	да	да	нет	да	нет	да	да	да	нет	да	республиканец
134	нет	нет	нет	да	да	да	да	да	да	да	нет	да	да	да	нет	да	республиканец
135	нет	да	да	нет	нет	да	нет	да	да	да	нет	нет	да	да	нет	да	демократ
136	нет	да	да	нет	нет	да	нет	да	да	нет	да	нет	воздержался	воздержался	воздержался	воздержался	демократ
137	да	да	да	нет	нет	да	да	да	да	нет	нет	нет	нет	нет	да	да	демократ
138	нет	да	да	нет	нет	да	да	да	да	да	нет	воздержался	нет	нет	да	да	демократ
139	нет	да	нет	да	да	да	нет	нет	нет	нет	нет	нет	да	да	нет	да	республиканец
140	нет	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	нет	республиканец
141	нет	да	нет	да	да	да	нет	нет	нет	нет	да	воздержался	да	да	воздержался	воздержался	республиканец
142	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да	демократ
143	нет	да	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да	демократ
144	да	нет	да	нет	нет	нет	да	да	да	нет	нет	нет	нет	нет	да	воздержался	демократ
145	да	да	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да	республиканец
146	нет	нет	нет	да	да	да	нет	нет	нет	да	нет	да	да	да	нет	да	республиканец
147	да	нет	да	нет	нет	нет	да	да	да	да	нет	нет	нет	нет	да	да	демократ
148	да	воздержался	да	нет	нет	да	да	да	да	да	нет	нет	нет	нет	да	воздержался	демократ
149	да	да	да	да	да	да	да	да	нет	да	воздержался	воздержался	воздержался	да	нет	да	республиканец
150	да	нет	да	нет	нет	да	да	да	да	нет	нет	да	воздержался	да	да	да	демократ
