Дата отгрузки	Наименование товара	Поставщик	Продавец	Цена продажи | Сумма	Колличество | Сумма
06.02.2007	Корвалол фл. 25мл (инд. упак.)	Поставщик №1	Продавец №1	11,8	109
06.02.2007	Коргликард (коргликон) амп. 0.06% 1мл х10	Поставщик №1	Продавец №1	35,2	60
06.02.2007	Кордафлекс ретард таб. 20мг х30	Поставщик №1	Продавец №1	48	8
06.02.2007	Кордиамин амп. 25% 1мл х10	Поставщик №1	Продавец №1	21,6	20
06.02.2007	Кофеин-бензоат натрия 20% амп. 1мл х10	Поставщик №1	Продавец №1	22,2	80
06.02.2007	Ксефокам пор. д/ин. фл. 8мг х5	Поставщик №1	Продавец №1	628,5	3
06.02.2007	Левомеколь мазь туба 40г	Поставщик №1	Продавец №1	15,1	70
06.02.2007	Лейкопластырь 3х500	Поставщик №1	Продавец №1	12	5
06.02.2007	Лидокаина г/х амп.  2% 2мл х10	Поставщик №1	Продавец №1	80,4	56
06.02.2007	Линкомицина г/х капс.250мг х20	Поставщик №1	Продавец №1	33,8	20
06.02.2007	Лоперамид капс. 2мг №20	Поставщик №1	Продавец №1	8,9	10
06.02.2007	Магния сульфат амп. 25%  5мл №10	Поставщик №1	Продавец №1	16	5
06.02.2007	Магния сульфат амп. 25% 10мл №10	Поставщик №1	Продавец №1	22,73	20
06.02.2007	Макропен 175 мг/5 мл 115 мл	Поставщик №1	Продавец №1	132,5	10
06.02.2007	Марля фасованная по  5м.	Поставщик №1	Продавец №1	18,8	6
06.02.2007	Марля фасованная по  5м. АМЕЛИЯ	Поставщик №1	Продавец №1	22,6	9
06.02.2007	Метилурациловая мазь 10% туба 25г	Поставщик №1	Продавец №1	19,8	15
06.02.2007	Мидокалм амп. 10%. 1мл х5	Поставщик №1	Продавец №1	89,6	100
06.02.2007	Мидокалм таб. п/о 150мг х30	Поставщик №1	Продавец №1	115	30
06.02.2007	Моночинкве таб. 40мг х30	Поставщик №1	Продавец №1	113,9	10
06.02.2007	Натрия тиосульфат амп. 30% 10мл х10	Поставщик №1	Продавец №1	30	10
06.02.2007	Натрия хлорид 0.9 % фл. 500мл х10	Поставщик №2	Продавец №2	195	50
06.02.2007	Натрия хлорид 0.9% амп.  5мл х10	Поставщик №1	Продавец №1	17,2	15
06.02.2007	Нафтизин 0.05% 15мл фл/капел-ца	Поставщик №1	Продавец №1	5,42	100
06.02.2007	Нистатин таб. 500тыс.ЕД х20	Поставщик №1	Продавец №1	14,2	10
06.02.2007	Нитроглицерин  конц.д/инф 0.1%  10мл х10	Поставщик №2	Продавец №2	281,1	50
06.02.2007	Нитроглицерин  конц.д/инф 0.1%  5мл х10	Поставщик №1	Продавец №1	162,5	20
06.02.2007	Нитроглицерин таб. 0,0005 №40	Поставщик №1	Продавец №1	10,4	70
06.02.2007	Омепразол капс. 20мг х30	Поставщик №1	Продавец №1	33,8	60
06.02.2007	Ортофен таб. п/о 0,025 г № 30	Поставщик №1	Продавец №1	8	30
06.02.2007	Паглюферал-3 таб. х20	Поставщик №2	Продавец №2	36,82	52
06.02.2007	Панкреатин таб. 25ЕД х60	Поставщик №1	Продавец №1	15	20
06.02.2007	Папаверина г/х таб. 0.04 х10	Поставщик №1	Продавец №1	2	40
06.02.2007	Парацетамол МС таб. 0.5 х10	Поставщик №1	Продавец №1	1,3	100
06.02.2007	Перекись водорода 3% фл.  40мл	Поставщик №1	Продавец №1	2,9	40
06.02.2007	Пирацетам амп. 20% 5мл х10	Поставщик №1	Продавец №1	20,18	10
06.02.2007	Пирацетам табл. п/о 0,2 №60	Поставщик №1	Продавец №1	14,8	11
06.02.2007	Платки носовые бум.PREMIAL 3-х слойные аром."КЛУБНИКА"1шт.ед.шт-код4607016280202	Поставщик №1	Продавец №1	1,95	12
06.02.2007	Платки носовые бум.PREMIAL 3-х слойные аром."ЛИМОН" 1шт.ед.шт.-код4607016280202	Поставщик №1	Продавец №1	1,95	6
06.02.2007	Платки носовые бум.PREMIAL 3-х слойные аром."МОРЕ" 1шт.ед.шт.-код4607016280202	Поставщик №1	Продавец №1	1,95	12
06.02.2007	Преднизолон амп. 30мг 1мл №3	Поставщик №1	Продавец №1	19,8	1
06.02.2007	Пульмикорт сусп. д/инг. 0,5мг/мл контейнер 2мл х20	Поставщик №1	Продавец №1	1272,82	5
06.02.2007	Реамберин 1,5% фл. 400мл	Поставщик №1	Продавец №1	156,6	12
06.02.2007	Ревит, драже  х100	Поставщик №1	Продавец №1	8,9	50
06.02.2007	Релиф Адванс свечи х12	Поставщик №1	Продавец №4	98,6	20
06.02.2007	Рибоксин таб. 0,2 х50	Поставщик №1	Продавец №1	11	10
06.02.2007	Салфетки стер.2-х слойн. 45х29 х5	Поставщик №1	Продавец №1	7	30
06.02.2007	Сальбутамол аэр. фл. 12мл	Поставщик №1	Продавец №1	59,4	10
06.02.2007	Соль д/ванн Зверобой 500г Фараоновы ванны	Поставщик №1	Продавец №1	10,17	3
06.02.2007	Соль д/ванн Календула 500г Фараоновы ванны	Поставщик №1	Продавец №1	10,17	1
06.02.2007	Соль д/ванн натуральная 500г Фараоновы ванны	Поставщик №1	Продавец №1	10,17	3
06.02.2007	Соль д/ванн с пеной водорослей Ламинарии 500г Фараоновы ванны	Поставщик №1	Продавец №1	10,17	3
06.02.2007	Сорбифер дурулес таб. х50	Поставщик №1	Продавец №1	96,01	5
06.02.2007	Стрепсилс табл. д/рассас. с витамином С  х24	Поставщик №1	Продавец №4	63	102
06.02.2007	Сульфацил натрия 20% 1.3мл тюб.-кап. х2	Поставщик №1	Продавец №1	14,9	50
06.02.2007	Теопэк ретард таб. 0,3г х40	Поставщик №1	Продавец №1	74,4	13
06.02.2007	Тетрациклина таб. п/о 0.1г х20	Поставщик №1	Продавец №1	12,8	40
06.02.2007	Тетрациклиновая гл. мазь 1% 3гр.	Поставщик №1	Продавец №1	13,5	30
06.02.2007	Ундевит др. №50	Поставщик №1	Продавец №1	9,7	30
06.02.2007	Феррум Лек амп. в/м 2мл х5	Поставщик №1	Продавец №1	257	10
06.02.2007	Флорена Крем для рук  СЕНСИТИВ с оливковым маслом 100мл 4026	Поставщик №1	Продавец №1	45,76	2
06.02.2007	Форамен Дорожный набор з/щ+з/п  5мл в коробочке арт.580	Поставщик №1	Продавец №1	32,2	5
06.02.2007	Форамен ершик  тонкий для межзубных пространств  х 6 арт.432	Поставщик №1	Продавец №1	85,33	5
06.02.2007	Форамен ершик  экстратонкий  для межзубных пространств х 6 арт.431	Поставщик №1	Продавец №1	85,33	5
06.02.2007	Форамен з/щ Ортодонтическая арт.504	Поставщик №1	Продавец №1	20,13	3
06.02.2007	Форамен набор Adapta из 2-х з/щ жесткая  арт.536/1	Поставщик №1	Продавец №1	60,38	3
06.02.2007	Фраксипарин  шприц-амп. 0,6 мл 5700МЕх10	Поставщик №1	Продавец №1	3000	1
06.02.2007	Фталазол таб. 0,5г №10	Поставщик №1	Продавец №1	3	50
06.02.2007	Фурагин таб. 50мг х10	Поставщик №1	Продавец №1	9,2	20
06.02.2007	Ципрофлоксацин таб. 250мг х10	Поставщик №1	Продавец №1	6,55	50
06.02.2007	Шприц однор. инс.U-100 (игла пр-ва Ю.Корея)	Поставщик №1	Продавец №1	1	100
06.02.2007	Шприц одноразовый  20мл BECTON (Испания)	Поставщик №1	Продавец №1	2,44	80
06.02.2007	Эвкалипта настойка фл. 25мл	Поставщик №1	Продавец №1	5,3	30
06.02.2007	Эуфиллин амп. 24% 1мл х10	Поставщик №1	Продавец №1	17,9	5
06.02.2007	Эуфиллин таб. 0.15г х30	Поставщик №1	Продавец №1	3,8	20
